gene	log2FC	FDR
SEMA7A	1.32	0.00503353050938585
NUDT16	-0.83	0.00381808352765379
STIM2	0.49	0.00344491526687949
TOM1L2	0.94	0.00405289886791939
RBPMS	3.39	0.00578233003825113
SIGLEC10	0.91	0.00466612537499369
XRCC2	-0.68	0.00356696299211312
ABCA6	1.97	0.0057863515870051
CEBPA	-1.04	0.00373924246195227
ZRANB1	0.47	0.00356748581063803
ADRBK1	-0.69	0.00358566965132218
MPP1	-1.5	0.0050224489191139
DERL3	-1.62	0.00402010874032456
TTPA	-1.16	0.00467608421304135
KLHL15	0.55	0.00356201625917936
DSEL	1.68	0.0051505668087513
ACN9	-0.66	0.00396685316241091
CNN2	0.72	0.00364861388711133
CASP6	0.95	0.00420769219539046
MXRA7	0.99	0.00365360958782061
MTMR10	0.71	0.00364041298790752
KIFC3	0.53	0.00389936307823426
GABPB2	0.94	0.00381107370076385
RPS3	-0.65	0.00403401525534709
PPIC	0.82	0.00444506644658617
ZBTB10	0.49	0.00371078139030457
NPPA	1.37	0.00602345364271098
KCNK17	2.66	0.00613495510816796
RPLP0	-0.78	0.00415778013014383
CHEK2	-0.57	0.00382231777264314
TMEM67	-1.07	0.00482598915720524
NOTCH1	0.88	0.00392156598583877
USF1	0.47	0.00378878319097791
ITGB8	0.64	0.00381808352765379
KLF3	0.59	0.00390772755170698
JAG1	2.82	0.00639828289416835
RPS2	-0.64	0.00417692181370966
METTL15	-0.53	0.00416241586414887
HDAC4	1.07	0.0040791273817912
TUBB2A	-1.17	0.00495070744368182
PACS2	0.55	0.00394030364731805
GPR153	0.64	0.00444506644658617
ROBO3	-0.86	0.00444506644658617
DAPK2	2.13	0.00636052740522478
TEAD1	1.21	0.00467323856514282
C5orf15	0.61	0.00387116271788908
TEX40	-2.81	0.0064919336758822
GLUL	0.47	0.0040144584246564604
MYL4	3.23	0.00650450147757103
TSPO	-0.69	0.00389680818246323
MICALL1	0.62	0.00405289886791939
SERPINE1	1.92	0.00623981365840979
OGFOD2	-0.64	0.00445753775815243
CCL5	-1.36	0.00587854171381956
SFMBT1	0.53	0.00408051800617777
DGKE	0.68	0.00389936307823426
GPR137B	0.76	0.00502285482253704
KCTD11	0.76	0.00503353050938585
GAA	-1.15	0.00462678124961212
ZBTB47	-0.66	0.00444506644658617
SPATA2L	0.68	0.00474896068845716
ARHGEF37	1.4	0.00650521173032179
ANKH	-0.83	0.00482700250690681
PBLD	-1.05	0.00598115077808706
TEX15	-0.81	0.00413323190971219
NFE2	-2.04	0.00580717746263825
SRF	0.63	0.00415298355009377
APBA1	0.78	0.00415298355009377
CEP290	-0.58	0.00446179394767005
TGFB1	-0.77	0.0049354519831139
DYRK1A	0.44	0.0040806646788581
SH3BP2	0.81	0.00416959992336662
IMPA2	-0.86	0.00466872271111875
C9orf9	-0.87	0.00564081461003578
PLIN2	-0.6	0.0041459568114086
SNRNP48	-0.41	0.00414467421758787
AXIN1	0.52	0.00418628803485106
IGF2BP2	2.77	0.00702112379635429
FUT4	-0.43	0.00416959992336662
MX2	1.3	0.00504433381557859
GZMA	3.23	0.0070587397369628
LAPTM5	0.93	0.00439570210295729
ETV4	1.34	0.00650450147757103
UBE2E2	-0.74	0.0051989082204107
KIAA1551	0.48	0.00417692181370966
ADK	-0.74	0.00434807735512995
MAP7D2	2.08	0.00598115077808706
NCOA5	0.86	0.00439570210295729
MCM4	-0.6	0.00444506644658617
ZNF81	0.64	0.00488384106305706
HNRNPA1	-0.49	0.00468004513262
DLG3	-1.06	0.00476697769742079
MYO15B	-1.13	0.00466872271111875
AZI2	0.67	0.00444506644658617
MCM7	-0.57	0.0044850927627926
RPLP2	-0.61	0.00457721074918259
MCCC1	-0.55	0.00444506644658617
PPP1R35	-0.65	0.00489479924758464
SRGAP1	1.77	0.00706021725143773
RPL18	-0.56	0.00463467185488088
TMEM198	1.74	0.00747100868069034
ARMCX2	-0.8	0.00485643914271108
NETO2	0.73	0.00444506644658617
CCDC107	0.48	0.00460440996491245
APOL3	-1.05	0.00548918189301388
GAB3	0.69	0.00469038938694077
LTA4H	-0.71	0.00444433684343132
NRCAM	1.46	0.00616467428666984
MDP1	-0.6	0.00541127390318473
NUBPL	-0.73	0.00526199246497141
SHROOM3	1.72	0.00760622978543787
ARPC5	0.58	0.0044850927627926
TNFSF4	0.92	0.00646640536227412
KCNN4	-1.42	0.00532787828027597
PTPRN2	3.4	0.00763213639723198
MACROD1	-1.49	0.00501404929815056
ATG2B	0.51	0.00453590232239382
MAMDC4	-0.96	0.0054485821407273
LIG4	0.72	0.00493534598665578
EPAS1	1.39	0.00637952350992028
IFITM2	-0.63	0.00449488439435442
ITPR3	1.33	0.00663443772637425
IL9R	-2.49	0.00650521173032179
IL9R_ENSGR0000124334.12	-2.49	0.00650521173032179
STOML1	-1.39	0.00612563336995277
ZNF709	0.61	0.00476697769742079
CLNS1A	-0.58	0.00455289413587957
TMEM63A	-0.61	0.0052058484576051
NUP62CL	-0.83	0.00656671988857861
ERGIC1	-0.49	0.00462678124961212
TGM1	1.15	0.00706021725143773
CHCHD10	-0.83	0.00522567608746061
SEMA3F	0.92	0.00553503109429751
COG2	-0.68	0.00482598915720524
CHEK1	-0.47	0.00462678124961212
UPF3A	-0.48	0.00478236903320385
PARP6	-0.62	0.00489479924758464
ZNF780A	0.53	0.00469038938694077
WDR41	-0.7	0.00485050131025673
AP4E1	0.58	0.00469590277653778
FAM102B	0.82	0.00466872271111875
CIB2	1.97	0.00798691019368877
ZNF440	0.51	0.00499271135192731
P2RY10	1.95	0.00779863955442595
TRIM45	-0.75	0.00612563336995277
DNAH7	2.9	0.00793616582561454
MDH1B	-0.92	0.00712129265540529
C21orf49	-1.5	0.00763173507168332
RIT1	0.53	0.00498382118133398
MED14	0.63	0.00472862576945579
FDX1	0.48	0.00490299940433706
VEZF1	0.58	0.00472203213114226
KLRK1	0.71	0.00474896068845716
RFC2	-0.56	0.00474649452199608
SETX	0.46	0.00485050131025673
TCEAL4	-0.63	0.00553503109429751
SERAC1	0.72	0.00553503109429751
POLR1D	-0.49	0.00475779830562006
TBC1D4	-0.66	0.00478236903320385
CPEB4	0.99	0.00564081461003578
SYNE1	0.74	0.00519823232123073
AIG1	-1.08	0.00588189064402252
CHPF2	0.54	0.00498010869047411
SLC4A8	1.05	0.00607401448058761
MAST2	0.68	0.0051505668087513
EXO1	-0.61	0.00493534598665578
ACAT1	-0.69	0.00489479924758464
MAP9	0.63	0.00592509113220288
AGBL3	0.81	0.0065684956091654
ISY1-RAB43	0.55	0.00520071347236032
GALK1	-0.72	0.0052058484576051
CDON	0.69	0.00602097123505687
POU6F1	-0.95	0.00745578531920469
RNF141	-0.55	0.00526199246497141
CABP1	-3.41	0.00848337758536333
SLA	0.65	0.00503353050938585
RPS6	-0.75	0.0054485821407273
BRPF3	0.73	0.00544908449843672
BIRC2	0.59	0.00514760381463647
NUDT12	-0.65	0.00550614261742037
DSTN	0.49	0.00536574932919759
PCDHGA7	-2.94	0.00863370261622861
SIRT7	0.46	0.00503353050938585
CARD6	0.76	0.00602097123505687
HIST1H3A	-0.99	0.00499271135192731
TMEM229B	1.3	0.00726991178901348
C19orf57	-0.77	0.00656671988857861
SLC45A4	0.7	0.00562407053877399
TPGS2	-0.56	0.005096712544277
FBL	-0.82	0.00514139645588798
ARSA	0.61	0.00607401448058761
LPAR1	1.23	0.00610863314304813
ZNF490	0.73	0.0057133527096778
DDX11	-0.4	0.0050955662896615
BCL6B	2.57	0.00893854386146325
PCID2	-0.57	0.00526199246497141
ENPP4	0.49	0.0054779095792934
ITIH4	-1	0.00776755317113449
RAD54L	-0.53	0.00559368478624399
REXO2	-0.8	0.0057863515870051
SCAMP2	0.48	0.00521101166259347
FBXO28	0.43	0.0051989082204107
ABAT	0.74	0.0055552821995198
C11orf83	-0.8	0.00590295400317397
RPS6KA4	-0.54	0.00536574932919759
ADAMTS17	-1.2	0.00671131464250574
FAM126B	0.55	0.00532787828027597
VPS4A	-0.56	0.00536574932919759
RBM23	0.5	0.00529257473787633
C1orf226	1.77	0.00926124988704445
CAMKK1	-0.62	0.00639957318319996
ENTPD5	-0.73	0.00697604342962889
GDPD1	1	0.00757388985745847
F11R	0.75	0.00650521173032179
MMAB	-0.97	0.00563619740096134
SIDT2	-0.53	0.00636052740522478
KLLN	-1.08	0.00804890976243318
COL25A1	2.14	0.00895322478447302
FAM219A	0.9	0.00682595875094982
ZNF791	0.46	0.00553867237921629
PRDX5	0.52	0.0054485821407273
OSGEP	-0.44	0.00553867237921629
GFOD1	0.76	0.00707331351003424
PHACTR2	0.48	0.00580717746263825
SERPINE2	-1.09	0.0057894273431019
ASUN	-0.61	0.00549970946057132
ARL6IP6	-0.7	0.00563619740096134
PLXND1	-0.91	0.00563619740096134
STOM	-0.97	0.0057863515870051
PITPNA	0.93	0.0056239439355784
IL4I1	2.89	0.00926657304043853
TOLLIP	0.61	0.00599602695833278
GALT	-0.54	0.00588189064402252
KCNJ2	0.68	0.00752031984519762
PLCD3	0.7	0.00656671988857861
SH3BP4	-0.84	0.00789691129566413
BTBD9	0.65	0.00636167963225007
MAML2	-2.89	0.0090244601387406
MSH5-SAPCD1	-0.91	0.0082435518212929
POLE2	-0.62	0.00614117758002597
DNMT3A	0.48	0.00563619740096134
KIAA1549	-0.96	0.00812424032864825
SPOPL	0.56	0.0057894273431019
PDPK1	0.5	0.00565551804672505
F11R_ENSG00000158769.13	0.96	0.0056948496662184
UBE2Q1	0.39	0.00570616166376937
PEA15	0.64	0.00597665722064809
GRHPR	0.78	0.00567643788719668
GLTP	0.66	0.00650450147757103
SOGA2	0.78	0.00656671988857861
LPGAT1	-0.78	0.00573076100272206
TM2D3	0.49	0.00613495510816796
C17orf97	1.32	0.00986201159786506
CDT1	-0.66	0.00576703238694835
N4BP2	-0.6	0.0057133527096778
ZNF737	0.41	0.00590295400317397
SMPD1	2.02	0.00824812800849163
SLC25A43	-0.6	0.00636052740522478
NEK7	0.74	0.00580717746263825
HRSP12	-1.19	0.00671877309927732
LNP1	-0.62	0.00763173507168332
UBTD2	0.5	0.00602097123505687
NEURL2	-1.04	0.00904435851367053
PEG10	-0.82	0.00633958372771197
CD69	1.52	0.00624595940103018
ANP32B	1.02	0.00614465098710142
ATL3	0.47	0.00588189064402252
SMIM11	-0.88	0.00766275833148874
ADAMTS9	1.11	0.00754599142151259
TNF	1.07	0.00702310656897208
ROCK2	0.39	0.00587854171381956
BCKDHA	-1.03	0.00614699856984201
LILRB4	-2.63	0.0103164920034762
AFF4	0.6	0.00590295400317397
CLUAP1	-0.6	0.00698315693651465
TNFAIP8L2	0.62	0.00650521173032179
TTLL4	0.73	0.00645847328259577
ITGAM	1.28	0.00763213639723198
ELF1	0.56	0.00622988308385943
FN1	1.1	0.00869600122363953
KLRF2	1.18	0.00645188307757729
RPUSD3	-0.61	0.00628205992378614
KLHL5	0.94	0.00650521173032179
CLYBL	-0.84	0.00784579320432007
FGF13	-1.68	0.0103164920034762
RPL18A	-0.62	0.00648994117449008
ACP6	-1.39	0.00804890976243318
ZNF593	-1.04	0.00727980883125709
APOC1	-0.9	0.00935189727881023
DARS	-0.89	0.00614465098710142
OVCA2	0.71	0.00697185064855676
CAPS	0.86	0.00784579320432007
ITGB3BP	-0.66	0.00656671988857861
CTNNA1	0.48	0.00625806125906908
MLK4	-0.87	0.00737657982125231
FOXD2	1.21	0.00992842088883016
hsa-mir-1199	-2.66	0.0111135602318996
MT2A	-1.37	0.00869600122363953
SLCO5A1	-1.4	0.00928365606139239
IFI30	-0.86	0.00682595875094982
PPAPDC2	-0.75	0.00774884398437528
ZNF264	0.58	0.00699777052166392
GALNT14	-0.87	0.00812568303599798
PLAGL1	-0.69	0.00890746779277383
STT3B	0.42	0.00650521173032179
HPGD	-0.99	0.00947403702174499
ZNF573	-0.75	0.00823122597407361
DPF3	1.53	0.0108758091854449
IQCK	-0.94	0.00994450250221428
NCKIPSD	-1.15	0.0073766540670364
FAM214B	1.41	0.00726991178901348
CCL28	-0.69	0.0069546255749081
BAI3	2.13	0.0102705718121053
NPY	2.68	0.0112821505471042
JMJD6	0.59	0.0068212825675445
RNF130	-0.59	0.00649229212421947
GDI1	0.56	0.00656671988857861
SPPL2A	0.69	0.00674160524703721
ZSCAN22	-0.77	0.00891069238250097
TP53INP2	1.11	0.0104112180291567
CTD-2192J16.20	0.64	0.00763213639723198
SLMO1	-0.74	0.00824499688123482
ETV7	-0.87	0.00848931094919139
C15orf40	-0.69	0.00787714896439014
GAS7	0.77	0.00679120900061337
NCR3	1.47	0.0117937379913478
ARL4D	-0.74	0.00935189727881023
MNS1	-1.04	0.00970957698789724
CTSB	0.51	0.00660040593501307
IKBIP	-0.52	0.00706490467483934
TMEM14C	-0.72	0.00697604342962889
ZNF862	0.84	0.0072142837032636
CASD1	0.45	0.00691683724119157
MYLK	1.79	0.0104107414561006
NOA1	-0.59	0.00692517936625421
MAN2A1	0.44	0.00672565632426253
CMPK2	0.68	0.00800222914745837
L2HGDH	-0.67	0.00848337758536333
BTF3	-0.56	0.00700086437838361
C3orf52	1.01	0.0103164920034762
PLBD2	-0.88	0.0108758091854449
SNN	0.48	0.00706490467483934
LRIG3	-0.78	0.00913701659025824
HIP1R	0.88	0.00832257947347519
NCK1	-0.43	0.00729935652755018
TRPC3	0.99	0.00997403872778154
CNBD2	2.92	0.0123166538990345
ETV5	0.44	0.00706490467483934
STRBP	-0.38	0.00686005505117808
RPS17L	-0.61	0.00716983549869122
OTUD7A	2.61	0.0123520927063331
CLEC16A	0.52	0.00737065121536161
PRRT2	-1.37	0.0106984831687985
CTD-2162K18.4	-1.03	0.0107503922567424
EPHX1	0.94	0.0096279723612704
EML4	0.37	0.00697229813209124
LRRC2	0.77	0.00821916670308411
CLOCK	0.51	0.00730590158739346
CLEC11A	-0.57	0.00697229813209124
CRLF3	0.48	0.00708220913802603
STAT4	1.42	0.0114163006430353
TAF4B	-0.45	0.0072142837032636
AKAP6	-1.09	0.0104672861437879
PALB2	-0.54	0.00756884906627295
USP12	0.39	0.00699777052166392
FRS2	0.42	0.00763173507168332
LETMD1	-0.7	0.0072142837032636
IRF8	-0.48	0.00706344054409639
RPL35	-0.7	0.0074340550593878
AGFG1	-0.43	0.00716801808263138
SPRY4	1.05	0.00821396804574353
FOXO3	0.6	0.00712129265540529
XPNPEP2	1.49	0.0100139157265653
FCRL1	2.33	0.0127705583039519
SMARCC2	-0.51	0.0072142837032636
SLC30A7	0.45	0.00729094911030609
C15orf41	-0.72	0.00886971179335089
LAP3	0.67	0.0072142837032636
EXOSC10	-0.38	0.0072249376946258
POLR2J	0.65	0.00750063655335627
TUBB4A	-1.29	0.012673503140855
CDK10	-0.43	0.00749842050643292
FASTK	-0.37	0.0074340550593878
EPB41L2	0.47	0.00729094911030609
FAM91A1	0.39	0.00737065121536161
TOMM40L	0.68	0.00842685129555359
ZNF385A	0.91	0.0109623089334627
RASAL3	0.39	0.00737065121536161
ZBTB4	0.58	0.00812424032864825
INTS3	0.45	0.00733099863514599
ABHD11	0.65	0.00903084502438433
SNX10	-0.87	0.00844054068860732
EEF1G	-0.59	0.00808829751592952
ZBTB37	0.67	0.00745073042239976
CCP110	-0.58	0.00763173507168332
SYNPO2	1.23	0.0117581665907042
ZNF777	-1.03	0.0106327155556887
EPHA4	1.67	0.012983811927695
PFKM	-0.79	0.00757852614707028
CCDC61	-0.62	0.00990756457662135
ZNF568	0.6	0.0091886328601083
DYNC1I1	1.03	0.01117829752631
TREM2	-2.37	0.0127705583039519
TAS1R3	1.11	0.0127008179200029
SUV420H1	0.55	0.00750063655335627
ZNF75A	0.67	0.0103123804988924
UHMK1	0.51	0.00754599142151259
C4orf46	-0.46	0.00755482796745524
SYNJ2	0.51	0.00758227914680004
MAP7D1	0.4	0.00759111107309668
EFR3A	0.42	0.00754599142151259
MRPL55	-0.56	0.00834518383246939
PLEKHO2	0.4	0.0079267314953654
CCDC6	-0.53	0.007882219036386
RGS2	0.67	0.00787714896439014
CRLF1	1.23	0.0124033625020374
CD82	2.89	0.0121063319829985
SEC14L1	0.67	0.00804890976243318
BAG3	2.06	0.0137712737783521
ARSE	0.94	0.0101400887009131
HNRNPLL	0.48	0.00774319563061442
FAM129C	-1.45	0.00812424032864825
ZFP1	0.5	0.0079267314953654
TTC6	1.1	0.0123023649154464
MYO1D	0.55	0.00901829216440932
CBWD2	-0.47	0.00772600912262359
PCBP2	0.41	0.00767258121404802
BPGM	0.71	0.00848337758536333
RPS4X	-0.66	0.00841848146047998
UFSP2	-0.73	0.00903084502438433
SIAE	1.17	0.0103702487502396
ZNF485	-0.71	0.00935189727881023
MCU	0.44	0.00834518383246939
PHPT1	-0.49	0.00823122597407361
SH3GLB1	0.62	0.00780091691874757
ARMC2	1.06	0.0106666114473577
ICAM5	-1.35	0.0106984831687985
TTC39B	-0.92	0.0113182045632602
SPC24	-0.43	0.00802559423797519
DCUN1D1	0.44	0.00784579320432007
WLS	-0.73	0.00861200345092362
ZRANB3	-0.51	0.00872354220654978
LRFN2	1.17	0.0132944932642389
FAM210B	-0.82	0.0103164920034762
GPX3	1.88	0.0139777545619743
DOPEY2	0.63	0.00910519109233268
HIST2H3D	-0.98	0.00793088666301976
C18orf54	-0.64	0.00866872933999605
SLC17A9	-0.58	0.00808206041814406
QRICH2	0.86	0.0108514386959329
GNA15	-0.81	0.00802559423797519
DAGLB	-0.55	0.00848931094919139
CPNE7	-0.89	0.00871778698634206
PIGL	-0.6	0.00950025137001012
MXD4	1.03	0.00824812800849163
ITGB1	0.45	0.00808776681335664
POLD3	-0.38	0.00812424032864825
SCAMP4	0.75	0.00989682045976471
CA11	-0.82	0.0102969683204848
TBC1D7	-0.71	0.00850051422511063
AK2	-0.61	0.00821396804574353
GNG12	2.41	0.0143889960528092
BTK	-0.44	0.00804890976243318
USP28	-0.81	0.008375921182684
KIAA1683	1.44	0.013676346729873
FAM13B	0.66	0.00824481171700348
MFSD4	-2.48	0.0143387967068181
AADAT	-0.92	0.0109837611543414
SCD	-1.02	0.00824812800849163
RUFY3	-0.68	0.00901829216440932
SKP1	0.75	0.00821396804574353
MLLT11	-0.75	0.0099152323896772
C19orf59	0.97	0.0106460795175569
PIGU	-0.64	0.0091886328601083
SYTL4	1.49	0.0145238676145623
CYB5RL	-0.61	0.0103164920034762
NEGR1	2.99	0.0150137446500279
HADHA	-0.43	0.00824499688123482
CERS5	0.57	0.00907211868416337
IER3	1.65	0.0132735214680815
ARID1B	0.63	0.00824812800849163
ZFP64	-0.63	0.00957606487018369
TMBIM6	0.52	0.00861200345092362
PITPNM1	0.37	0.0086745304825195
TRIM65	-0.6	0.00842563420387244
GRM2	1.41	0.0151362194375706
GSAP	-1.14	0.0105290790810993
FOXL1	1.69	0.0149559256456688
DHFR	-0.37	0.00841848146047998
KHNYN	0.54	0.00833933951772478
COMMD1	0.62	0.0100650036899819
PLCXD1	-0.45	0.00903084502438433
PLCXD1_ENSGR0000182378.8	-0.45	0.00903084502438433
YES1	0.44	0.00841848146047998
CCDC25	-0.58	0.00850126348056348
MAP3K2	0.45	0.00838410016417973
WDR76	-0.45	0.00841848146047998
TTPAL	0.59	0.00910519109233268
MDGA1	2.35	0.0154172753042831
RWDD3	-0.53	0.00970957698789724
NRIP1	0.77	0.0091886328601083
SDSL	1.21	0.0122032891001708
ARF4	0.57	0.00848337758536333
EIF3D	-0.43	0.00860890278840117
RELB	0.98	0.00956747050924949
SH2B3	0.78	0.00863370261622861
HEXIM1	0.78	0.00910519109233268
BCL9	0.82	0.0103702487502396
DUSP4	1.21	0.0105180315571246
FAM46B	-2.15	0.0151521688988769
TRIT1	-0.44	0.00922879303741608
TCF7	0.99	0.00959417409409084
PTPLA	-0.96	0.00982017576905908
ETHE1	0.52	0.00909439487213437
DDB2	-1.08	0.00926419516705943
CDH23	1.37	0.0134000203932259
SYT17	1.3	0.0138360451396188
EDEM2	0.4	0.00940186568356638
THOC3	-0.45	0.00871778698634206
TAOK1	0.4	0.00872665389849193
RPS27A	-0.64	0.00926657304043853
SELL	-3.42	0.0155340277386476
MAPK11	0.63	0.0104672861437879
ZNF561	0.44	0.00970957698789724
FERMT1	-1.8	0.0126633671408857
TDRKH	0.56	0.0104177796393312
UBE2L6	-0.58	0.0090753293450971
EXOSC9	-0.5	0.00911978829488134
MTMR11	-1.85	0.0161795087726522
CDC45	-0.62	0.00926657304043853
ZBTB45	0.69	0.0113620574028088
LRRCC1	-0.54	0.00913701659025824
SPATA13	-0.59	0.00945426439105919
PHLDA1	0.94	0.0132944932642389
RPS18	-0.75	0.00973995816985195
RNF111	0.38	0.00940186568356638
THOP1	-0.49	0.00892277199165521
NUP37	-0.66	0.00981502764553778
HK2	-1.05	0.00893854386146325
TGFA	2.21	0.0119405587463628
RASGRP2	-0.65	0.00981502764553778
MED29	0.55	0.00937898949651783
SCAND1	-0.66	0.00970957698789724
ZNF48	-0.49	0.00950194082072396
C1orf86	0.67	0.0104177796393312
ATXN3	-0.36	0.00928365606139239
ZNF880	0.49	0.0104112180291567
FAM212B	0.67	0.0104112180291567
IL15RA	-0.99	0.0140506156786087
TMEM143	-0.78	0.012375536377457
YIPF6	0.42	0.009455167006736
UBLCP1	0.8	0.0099152323896772
MARCKS	-0.66	0.00926419516705943
KLHL30	-0.79	0.0127366665444193
AC010336.1	0.64	0.0126990709653305
CNOT4	0.55	0.0100810220763835
ETFDH	0.47	0.00981776926531192
TRIM9	-1.31	0.0117581665907042
FGFRL1	0.71	0.00990526288576859
DCAF12	0.4	0.00926362105367225
MMP15	1.22	0.0154799815792717
RNMT	-0.48	0.00926657304043853
NUDT3	-0.44	0.00926657304043853
CD38	0.7	0.00981488122792794
DRAM1	-1.11	0.011910219503133
DOCK4	1.07	0.010000897234879
LONP1	-0.75	0.00929996691280723
LYG1	0.84	0.0143328999928967
CEP70	-0.57	0.00980871818044919
IRGQ	0.75	0.00940186568356638
SALL4	-2.64	0.0159161672000798
ARMC7	0.74	0.0114812011682205
RNF24	-0.65	0.00981502764553778
NDEL1	0.39	0.00981502764553778
BCAS1	1.88	0.0167583311145284
HPDL	-1.42	0.0122032891001708
KLHL42	0.73	0.0099062388279278
NOB1	-0.57	0.00987216296858311
GP9	1.27	0.0125940644414328
CRABP2	-1.26	0.0172456054644294
USB1	0.98	0.0123166538990345
NSUN6	-0.45	0.0104672861437879
CAPN5	1.48	0.0139317324575852
SMURF2	0.47	0.00997400764801007
IFT27	0.45	0.0104525556319787
DHRS9	-2.54	0.0148059440941624
WDR17	-0.99	0.013229673030091
SIGLEC15	2.66	0.0165536292752308
TMEM134	-0.7	0.0135686849872093
DNTT	-2.42	0.017066552033224502
SYNGR2	0.67	0.0100835019828315
GRAMD1C	-2.92	0.0174816790324907
CSF1R	-1.08	0.0107122452446593
TXN	0.95	0.00970957698789724
MED30	-0.55	0.0102691073524918
ATP6V1G2-DDX39B	4.73	0.0174010647706712
MAPK1	0.39	0.00981502764553778
TFDP2	-0.91	0.0105414508981847
ZSCAN23	0.95	0.0137627869792825
PCDH18	-0.71	0.0124362786797672
STAC	-0.69	0.0136258926049229
MRPS9	-0.58	0.0102115246755857
FLJ20373	5.51	0.0169559560349683
VPS13A	0.42	0.0100191856129475
ECI2	-0.81	0.0105738084974068
LIN28B	-1.18	0.016686767221774
WDR1	0.37	0.0100141364986652
PTCHD1	2.1	0.0175509153341003
NAPG	0.48	0.00990530130508563
CHAF1A	-0.42	0.00987216296858311
TPRG1L	0.49	0.0115302317906276
ST8SIA4	0.54	0.0102836161477667
KNDC1	1.17	0.0125007431691102
TEX2	0.51	0.0101567437831415
ZNF251	0.51	0.0100835019828315
ABCD1	0.78	0.0129509498640658
LINC00998	-0.5	0.0103979641984419
APOA1	-1.55	0.0178508286434952
RPS15	-0.48	0.0103164920034762
LRPPRC	-0.49	0.0100810220763835
TM2D2	0.49	0.0105738084974068
PSMG3	-0.58	0.0118376992256022
NPTN	0.41	0.0104672861437879
PLTP	-1.18	0.013229673030091
CD1E	1.48	0.0161795087726522
CACFD1	0.77	0.0120679462337325
PPP1R18	0.68	0.0100835019828315
HADH	-0.48	0.0100810220763835
MRPS27	-0.58	0.0100432159121179
LRRC37B	-0.77	0.0123520927063331
ASB1	0.43	0.0104108433318993
ANKRD27	-0.46	0.0100810220763835
TTYH3	0.74	0.0107122452446593
BTN3A2	-0.57	0.0103468766279519
KIAA0247	0.6	0.01117829752631
GATSL3	1.15	0.0148274815632525
LIAS	-0.62	0.0123166538990345
NEU1	0.71	0.0110255640356364
DPH5	-0.68	0.0111778592722018
MBOAT2	0.44	0.0104107414561006
DNAJC5	0.34	0.0101760707631398
CACNB3	0.6	0.0106984831687985
REST	0.38	0.0102469000545756
VWA5A	1.6	0.0131111639904233
ZSCAN29	0.35	0.0103123804988924
CD93	0.4	0.0105460257820296
FNDC5	2.61	0.0182533507102013
RP1-102H19.8	-2.73	0.0191587362782761
RNASEL	0.47	0.0106327155556887
C4orf36	-0.76	0.0141657558389621
POLN	0.66	0.0151608840903013
SETD6	0.65	0.0122032891001708
WIPI1	1.39	0.0141732130083933
UNK	0.39	0.0106666114473577
PTK2	0.36	0.0103164920034762
ANO8	0.73	0.0122032891001708
RPL6	-0.52	0.01117829752631
P4HA2	1.85	0.0185998943489575
MPST	-0.5	0.0106327155556887
FAM206A	-0.54	0.0122578007122843
E2F2	0.5	0.0104028317339144
RPL14	-0.66	0.0107503922567424
SEPW1	0.68	0.012665133794066
EML2	-0.54	0.0124023448703625
TMEM19	0.7	0.0107122452446593
WWC1	-1.39	0.0171035912113557
SECISBP2L	0.67	0.0105738084974068
GNG2	0.82	0.0108758091854449
SUSD1	0.5	0.012152006129446
RPS8	-0.66	0.0113926017670223
NUDT13	-0.95	0.0163504317810744
ACTR3B	-0.79	0.0140545481034326
TMEM167B	0.41	0.0108758091854449
TNFRSF21	-1.07	0.0150195799805606
DHRS7	-0.75	0.0114992496274713
TG	1.88	0.0184967232028798
RIF1	-0.38	0.0107382666123886
TEX19	1.8	0.0144230751043622
NIPAL2	-0.81	0.0123026164172689
NKD1	0.87	0.0167590107245684
FBXO7	0.34	0.0106258948268692
SYDE2	-1.01	0.0178508286434952
RPS25	-0.7	0.01117829752631
TRAPPC10	0.46	0.0107382666123886
MCAM	1.64	0.0199740190625288
PRSS57	-0.84	0.0109385214425393
STOX1	0.58	0.0125380992195394
RPL5	-0.64	0.0117160852279457
ZBTB18	0.53	0.0113182045632602
RND1	0.89	0.0165536292752308
AGFG2	0.65	0.012152006129446
USP42	0.66	0.0132944932642389
GATA3	1.23	0.0176243994486342
MTMR1	0.43	0.0113926017670223
NMRAL1	-0.42	0.0115302317906276
MAPKBP1	0.99	0.0110255640356364
BCOR	0.64	0.0111135602318996
RPL17	-0.74	0.0116482624950961
BVES	0.66	0.0118410271205157
ZNF513	0.43	0.012375536377457
MTBP	-0.43	0.0112691636071186
LAMP2	0.37	0.0108495837543761
MCL1	0.38	0.0110255640356364
TMEM169	-1.12	0.017748879234575
HSD17B6	-0.88	0.0166839933653457
SGPL1	0.81	0.0112450269242037
C6orf223	-2.46	0.0165536292752308
CNKSR2	0.45	0.0125380992195394
MRPS25	-0.66	0.0110228734974832
SLC44A2	0.59	0.0109167038707819
EMR1	2.25	0.0208358616946539
CRADD	-0.5	0.0137490284568594
GBA	0.58	0.0118637226814449
CMTM6	0.42	0.0110255640356364
DTD1	0.47	0.0113197250027625
FAM175A	-0.7	0.0111968838455755
CHMP3	0.37	0.0112343888264368
SEC61A2	0.53	0.0146953749282786
IGSF8	0.44	0.0126323768244822
RRM1	-0.45	0.0110255640356364
HIST2H2BF	-1.04	0.0113926017670223
NEB	1.16	0.0176094889872703
FDXACB1	0.8	0.0124314184512171
